plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
E11,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC4[Fe]C5C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C5)C8=CC=CC=C8C9=C([NH2]1)C=CC=C9)(=O)=O,DPPF Pd G3 31,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E12,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,CS(O[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC4[Fe]C5C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C5)C8=CC=CC=C8C9=C([NH2]1)C=CC=C9)(=O)=O,DPPF Pd G3 31,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E13,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7C8(C)C)C8=CC=C4)C9=CC=CC=C9C%10=C([NH2]1)C=CC=C%10,XantPhos Pd G2 32,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E14,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7C8(C)C)C8=CC=C4)C9=CC=CC=C9C%10=C([NH2]1)C=CC=C%10,XantPhos Pd G2 32,CN1CCCN2C1=NCCC2,MTBD 25,0.74,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E15,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7C8(C)C)C8=CC=C4)C9=CC=CC=C9C%10=C([NH2]1)C=CC=C%10,XantPhos Pd G2 32,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,1.17,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E16,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7C8(C)C)C8=CC=C4)C9=CC=CC=C9C%10=C([NH2]1)C=CC=C%10,XantPhos Pd G2 32,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.84,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E17,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7C8(C)C)C8=CC=C4)C9=CC=CC=C9C%10=C([NH2]1)C=CC=C%10,XantPhos Pd G2 32,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,1.16,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E18,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C2=CC=CC=C2)(C3=CC=CC=C3)C4=C(OC(C(P(C5=CC=CC=C5)C6=CC=CC=C6)=CC=C7)=C7C8(C)C)C8=CC=C4)C9=CC=CC=C9C%10=C([NH2]1)C=CC=C%10,XantPhos Pd G2 32,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E19,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=CC=CC=C2C3=C([NH2]1)C=CC=C3,tBu3P Pd G2 33,C12=NCCCN1CCCCC2,DBU 24,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
E20,BrC1=CN=CC=C1,NC(C1=CC=CC=C1)=O,Cl[Pd]1([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C2=CC=CC=C2C3=C([NH2]1)C=CC=C3,tBu3P Pd G2 33,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=C(NC1=CN=CC=C1)C2=CC=CC=C2
