plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
G35,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G36,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,NC(C=C1)=CC=C1[P]([Pd]2(OS(C)(=O)=O)C3=CC=CC=C3C4=C([NH2]2)C=CC=C4)(C(C)(C)C)C(C)(C)C,Aphos Pd G3 35,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G37,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,C12=NCCCN1CCCCC2,DBU 24,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G38,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G39,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G40,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G41,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G42,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,Xphos Pd G3 36,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G43,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,C12=NCCCN1CCCCC2,DBU 24,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
G44,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,Cl[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(OC(C)C)C=CC=C5OC(C)C)C=CC=C4)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7,RuPhos Pd G2 37,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
